ID,Project Description,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Project Exemption Reason,Compensatory Afforestation Type,Is Applicable Compensatory Afforestation,Organization Street,Organization City,Organization State,Organization Legal Status,Applicant Designation,Applicant City,Applicant State,Forest Clearance Present Owners,Plot Number,District,proposal_url,KML URLs,Employment (Operational),Village Code,Employment (Construction)
1556054,USOF Project for 4G Mobile Coverage in Uncovered villages and NH in Andaman & Nicobar Islands-Diversion of 0.69585 Ha of Forest land(16 Nos of Sites) under South Andaman Division,New,FP/AN/OTHERS/406629/2022,2022-11-16T05:30:09.250+00:00,,Delisted,0.6958,1672.0,OFFICE OF THE JOINT CONTROLLER OF COMMUNICATION ACCOUNTS DOT ANDAMAN AND NICOBAR CIRCLE,,Forest clearance form,,,,Installation of 4G Tower in South Andaman under USOF Project,ANDAMAN AND NICOBAR ISLANDS,Ferrargunj,MANGLUTAN,,,,Non - Linear,0.0,0.6958,0.6958,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,Entire Area Belongs to Forest Dept Only. We need to provide Coverage to the Commuters.,NO,NO,NO,2022-11-16T10:24:48.737+00:00,,Degraded Forest Land,true,"B108, Kendriya Sadan, Ranchi Basti",,35,Central Government (Department/Autonomous body),Joint CCA,Port Blair,35,,,South Andaman,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1556054,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1552126&refType=caf&uuid=fa8c121f-00be-4c10-8f98-dae4e0d528c0&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=1552126&refType=caf&uuid=9bc9e139-11fb-4541-b8aa-55e18fac16b1&version=1.5,730.0,645513,360.0
1568503,USOF 4G Mobile coverage in Uncovered Villages and NG in A&N Islands - Diversion of 0.1282 Ha of Forest Land 3 sites under diglipur Divison,New,FP/AN/OTHERS/406725/2022,2022-11-16T11:24:19.687+00:00,,Delisted,0.1282,313.5,OFFICE OF THE JOINT CONTROLLER OF COMMUNICATION ACCOUNTS DOT ANDAMAN AND NICOBAR CIRCLE,,Forest clearance form,,,,USOF 4G Mobile Towers Diglipur,ANDAMAN AND NICOBAR ISLANDS,Diglipur,Kishori Nagar (RV),,,,Non - Linear,0.0,0.1282,0.1282,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,Not Applicable Project Activities are site specific,NO,NO,NO,2023-05-25T18:30:00.000+00:00,,Degraded Forest Land,true,"B108, Kendriya Sadan, Ranchi Basti",Portbair,35,Central Government (Department/Autonomous body),Joint CCA,Portblair,35,,,North  & Middle Andaman,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1568503,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1567609&refType=caf&uuid=55e20ac3-2eb8-455f-a2cf-020f81c53a80&version=1.6;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=1567609&refType=caf&uuid=1e04ba5c-b2a4-47c7-b785-5b15f477c81d&version=1.0,730.0,645234,425.0
1569422,USOF Project for 4G Mobile Coverage in uncoverened villages and NH in Andaman & Nicobar Island Diversionof 0.21502 Ha of Forest Land (5 Nos Sites) under Baratang Division,New,FP/AN/OTHERS/406735/2022,2022-11-16T11:46:00.427+00:00,,Delisted,0.215,522.5,OFFICE OF THE JOINT CONTROLLER OF COMMUNICATION ACCOUNTS DOT ANDAMAN AND NICOBAR CIRCLE,,Forest clearance form,,,,Baratang,ANDAMAN AND NICOBAR ISLANDS,Rangat,Adojig (RV) (including EFA),,,,Non - Linear,0.0,0.215,0.215,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2022-11-16T12:04:18.089+00:00,,Degraded Forest Land,true,"B108, Kendriya Sadan, Ranchi Basti",Port blair,35,Central Government (Department/Autonomous body),Joint Controller of Communicat,Port Blair,35,,,North  & Middle Andaman,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1569422,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1566617&refType=caf&uuid=3c5d9e2c-8c4d-4954-8fc3-997806438768&version=1.4;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=1566617&refType=caf&uuid=d062640e-c83e-4b78-aaa9-a848044356d1&version=1.1,425.0,645374,425.0
1639467,USOF Project for 4G Mobile Coverage in Uncovered villages and NG in A&N Island Diversion of 0.2075 Ha of Forest land 5 sites under Middle Andaman Division,New,FP/AN/OTHERS/407310/2022,2022-11-21T07:40:36.196+00:00,,Delisted,0.2075,522.5,OFFICE OF THE JOINT CONTROLLER OF COMMUNICATION ACCOUNTS DOT ANDAMAN AND NICOBAR CIRCLE,,Forest clearance form,,,,Isntallation of 4G USOF Mobile Towers for  Coverage under  USOF in Middle Andaman,ANDAMAN AND NICOBAR ISLANDS,Rangat,Porlobjig No.10 (FC & JPPC),,,,Non - Linear,0.0,0.2075,0.2075,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2022-11-21T07:54:18.821+00:00,,,false,"B108, Kendriya Sadan, Ranchi Basti",Portblair,35,Central Government (Department/Autonomous body),Joint Controller of Communicat,portblair,35,,,North  & Middle Andaman,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1639467,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1570712&refType=caf&uuid=8733b160-6c74-4e8c-90f8-9f9bd3cd44c9&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1570992&refType=caf&uuid=80f983f5-208f-4234-92b0-7e9e0840f24f&version=1.1;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=1570712&refType=caf&uuid=a8b00c14-4233-454d-8eed-349647325796&version=1.1,416.0,645405,425.0
1640287,USOF Project for 4G Mobile Coverage in Uncovered Villages and NH in Andaman & Nicobar Island Diversion of 0.4284 Ha of Forest Land 10 sites under Mayabunder Division,New,FP/AN/OTHERS/407318/2022,2022-11-21T08:11:20.569+00:00,,Delisted,0.4284,1045.0,OFFICE OF THE JOINT CONTROLLER OF COMMUNICATION ACCOUNTS DOT ANDAMAN AND NICOBAR CIRCLE,,Forest clearance form,,,,4G Mobile connectivity under USOF Mayabunder Division,ANDAMAN AND NICOBAR ISLANDS,Diglipur,Karen Basti (EFA),,,,Non - Linear,0.0,0.4284,0.4284,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2022-11-21T08:20:48.339+00:00,,,false,"B108, Kendriya Sadan, Ranchi Basti",Portblair,35,Central Government (Department/Autonomous body),Joint Controller of Communicat,portblair,35,,,North  & Middle Andaman,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1640287,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1640063&refType=caf&uuid=ea59a5fb-8f5e-4598-944b-9c7e1d6f251e&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=1640063&refType=caf&uuid=857c6fc5-7c17-4df4-9308-1db58e3429e3&version=1.0,425.0,645245,425.0
1753984,USOF Project for 4G Mobile tower installation in uncovered villages and NH in Andaman & Nicobar Island - Diversion of 0.0466 Ha of Forest Land 1 site under Little Andaman Divison,New,FP/AN/OTHERS/408298/2022,2022-11-28T10:16:46.930+00:00,,Pending at DFO for Scrutiny and Recommendation,0.0466,104.5,OFFICE OF THE JOINT CONTROLLER OF COMMUNICATION ACCOUNTS DOT ANDAMAN AND NICOBAR CIRCLE,,Forest clearance form,,,,4G Mobile Tower Installation for Uncovered Villages in Little Andaman Division,ANDAMAN AND NICOBAR ISLANDS,Little Andaman,Dugong Creek (OS),,,,Non - Linear,0.0,0.0466,0.0466,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-01-02T18:30:00.000+00:00,,Degraded Forest Land,true,"B108, Kendriya Sadan, Ranchi Basti",portblair,35,Central Government (Department/Autonomous body),Joint Controller of Communicat,portblair,35,,,South Andaman,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1753984,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1753765&refType=caf&uuid=c0f718fc-e70e-4d24-863f-33c5a4460a87&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=1753765&refType=caf&uuid=38550b74-688e-4a00-80f1-c63867095329&version=1.1,425.0,645552,425.0
2847850,"Project starts at Km 206.000 of National Highway-04 (old ATR -223) at Swadeshnager and ends at Km 239.445 at 500 mtr before Austin Creek Bridge. widening and reconstruction of the existing Road of single lane width in to intermediate lane width is being done which includes construction of Carriageway of 5.5 mtr + Hard Shoulder of 0.5 mtr on each side and Earthen shoulder of 0.5 mtr on each side. it also includes construction of unlined drain and protection works (Retaining walls and Breast walls) at some locations, as per site requirements with in an overall width of 12.00 mtr.",New,FP/AN/ROAD/416784/2023,2023-02-02T10:07:40.527+00:00,,REMOVED,42.464,14860.0,NHIDCL,,Forest clearance form,,,,Diversion of 12.936 ha of Forest land for rehabilitation and upgradation of section from Km 206.00 to Km 239.445 (Total length: 33.405km) of NH-4 (Old NH 223) (Nimbutala  to Austin Creek) of NH-4 (Old NH 223) to 2-lane with hard shoulder in the Union Territory of Andaman & Nicobar Islands (Package-IV) by NHIDCL,ANDAMAN AND NICOBAR ISLANDS,Mayabunder,RAMCHANDRA NAGAR,,,NA,Linear,29.528,12.936,42.464,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-02-08T09:53:59.634+00:00,,Non-forest Land,true,"NHIDCL,
PMU: Mayabunder,
2
nd Floor, Above ICICI Bank,
Village: Lucknow, Mayabunder, North
& Middle Andaman, Andaman &
Nicobar Islands-744204",,35,Central Government (Department/Autonomous body),General Manager,Lucknow,35,,NA,North  & Middle Andaman,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=2847850,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=2588320&refType=caf&uuid=8ffa2083-40e2-4a53-8b94-214ac7ad9a0f&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=2588320&refType=FC&uuid=fdd0918a-8d43-4632-9c9d-0f2cd87a38fb&version=1.3,29220.0,645344,42780.0
3117489,"Universal State Obligation Fund under Department of Telecom, Government of India has launched a project to provide 4G Mobile Connectivity to 82 uncovered villages and also to provide seamless 4G mobile coverage across the National Highways in Andaman & Nicobar Islands (ANI).",New,FP/AN/OTHERS/418660/2023,2023-02-16T11:25:10.026+00:00,2023-11-02T10:24:31.757+00:00,Final Diversion Order Issued,0.1391,313.5,OFFICE OF THE JOINT CONTROLLER OF COMMUNICATION ACCOUNTS DOT ANDAMAN AND NICOBAR CIRCLE,,Forest clearance form,,,,Installation of three 4G tower in north & middle andaman under USOF project propsal for new,ANDAMAN AND NICOBAR ISLANDS,Diglipur,BORANAG,,,,Non - Linear,0.0,0.1391,0.1391,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-05-25T18:30:00.000+00:00,,Degraded Forest Land,true,"B108, Kendriya Sadan, Ranchi Basti",Port Blair,35,Central Government (Department/Autonomous body),Joint Controller of Communicat,,35,,,North  & Middle Andaman,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=3117489,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=3117006&refType=caf&uuid=4de5f069-fe12-4b95-8277-0031a9f87b1f&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=3117006&refType=FC&uuid=b032311d-1bed-4b80-825d-6dcff7f1a8ef&version=1.0,730.0,645240,240.0
3118321,"Universal State Obligation Fund under Department of Telecom, Government of India has launched a project to provide 4G Mobile Connectivity to 82 uncovered villages and also to provide seamless 4G mobile coverage across the National Highways in Andaman & Nicobar Islands (ANI).",New,FP/AN/OTHERS/418668/2023,2023-02-16T11:44:14.768+00:00,2023-10-30T05:42:18.961+00:00,Final Diversion Order Issued,0.0444,104.5,OFFICE OF THE JOINT CONTROLLER OF COMMUNICATION ACCOUNTS DOT ANDAMAN AND NICOBAR CIRCLE,,Forest clearance form,,,,Installation of one 4G tower in South andaman,ANDAMAN AND NICOBAR ISLANDS,Port Blair,CHIDIYATAPU,,,,Non - Linear,0.0,0.0444,0.0444,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-05-30T18:30:00.000+00:00,,Degraded Forest Land,true,"B108, Kendriya Sadan, Ranchi Basti",Port Blair,35,Central Government (Department/Autonomous body),Joint Controller of Communicat,PortBlair,35,,,South Andaman,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=3118321,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=3118189&refType=caf&uuid=02b3b35a-56d3-4093-a87a-6e47316f25d2&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=3118189&refType=FC&uuid=716dbf2b-e1a9-4665-96ec-4b58049203bc&version=1.0,730.0,645539,240.0
3142753,"Presently about 2000 people residing in and around in Panchawati area in villages (JNV residential school, RRO and adjacent villages).(Habitation code of village-0001715103). This habitations are along national highway 04 connecting Port Blair to Diglipur. This road is future tourism corridor between North, Middle and South Andaman. Government policy of promoting A & N Islands as major tourists destination in South East Asian Nations, Development potential in this villages have increased manifold. Opening of tourism facility shall also increase floating population manifold.
Presently water supply in this area is from Panchawati source No.I & II.Reservoir capacity of existing Check weirs (Constructed more than 30 years back) is in sufficient therefore during peak summer water tankers have to be engaged to meet water supply requirement. Therefore under UT fund it is planned to augment water supply in area by construction of additional Check weir and related infrastructure under JJM.",New,FP/AN/WATER/418825/2023,2023-02-17T10:45:10.119+00:00,,REMOVED,0.2152,316.4985,Public Works Department,,Forest clearance form,,,,"Augmentation of water supply from Panchawati source-III to Nimbutala under SD-V, CD-I, APWD, Rangat. (9000.00 m)",ANDAMAN AND NICOBAR ISLANDS,Rangat,PANCHAWATI,,,,Linear,0.1102,0.105,0.2152,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-04-06T14:56:37.677+00:00,,,false,OFFICE OF THE EXECUTIVE ENGINEER CONSTRUCTION DIVISION NO-I APWD RANGAT,Panchawati Shivapuram Panchayat Rangat,35,State Government (Department/Autonomous body),Executive Engineer,Rangat,35,,,North  & Middle Andaman,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=3142753,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=3101101&refType=caf&uuid=e8e30561-bae0-470a-9a1c-78d069f532ef&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=3101101&refType=FC&uuid=f65c571a-fee4-4984-8103-32ecf251e69d&version=1.1,2920.0,645348,14600.0
